WKT,nombre,descripción
"POINT (-76.9777916 -12.2184027)",Punto 1 Bus,
"POINT (-77.0073174 -12.1885374)",Punto 2 Bus,
"POINT (-77.0069741 -12.1836714)",Punto 3 Bus,
"POINT (-77.0217987 -12.1713435)",Punto 4 Bus,
"POINT (-77.0203396 -12.1490248)",Punto 5 Bus,
"POINT (-77.0177647 -12.1339208)",Punto 6 Bus,
"POINT (-77.022211 -12.1314698)",Punto 7 Bus,
"POINT (-77.0254235 -12.1135005)",Punto 8 Bus,
"POINT (-77.0270543 -12.1018354)",Punto 9 Bus,
"POINT (-77.0227628 -12.0906336)",Punto 10 Bus,
"POINT (-77.0354078 -12.0597171)",Punto 11 Bus,
"POINT (-77.0414159 -12.0603046)",Punto 12 Bus,
"POINT (-77.0437495 -12.0366048)",Punto 13 Bus,
"POINT (-77.0448469 -12.027608)",Punto 14 Bus,
"POINT (-77.0505117 -12.0229069)",Punto 15 Bus,
"POINT (-77.0622622 -11.9614111)",Punto 16 Bus,
"POINT (-77.0609319 -11.9417412)",Punto 17 Bus,
"POINT (-77.0287818 -11.8758974)",Punto 18 Bus,
"LINESTRING (-77.0287818 -11.8758974, -77.0609319 -11.9417412, -77.0622622 -11.9614111, -77.0505117 -12.0229069, -77.0448469 -12.027608, -77.0437495 -12.0366048, -77.0427886 -12.0465262, -77.0414159 -12.0603046, -77.0354078 -12.0597171, -77.0227628 -12.0906336, -77.0270543 -12.1018354, -77.0254235 -12.1135005, -77.022211 -12.1314698, -77.0177647 -12.1339208, -77.0203396 -12.1490248, -77.0217987 -12.1713435, -77.0069741 -12.1836714, -77.0073174 -12.1885374, -76.9777916 -12.2184027)",Linea 1,
"POINT (-77.0687422 -11.9622097)",Punto 19 Bus,
"POINT (-77.0741643 -11.9130178)",Punto 20 Bus,
"POINT (-77.0678165 -11.9026254)",Punto 21 Bus,
"POINT (-77.0704255 -11.870328)",Punto 22 Bus,
"POINT (-77.1102551 -11.8364007)",Punto 23 Bus,
"POINT (-77.1641568 -11.776078)",Punto 24 Bus,
"POINT (-77.1207491 -11.84954)",Punto 25 Bus,
"POINT (-77.1308986 -11.8624129)",Punto 26 Bus,
"POINT (-77.1262207 -11.9965425)",Punto 27 Bus,
"POINT (-77.1161785 -12.0000687)",Punto 28 Bus,
"POINT (-77.083477 -11.9684997)",Punto 29 Bus,
