73
Punto 1 Bus|-12.2184027 -76.9777916
Punto 2 Bus|-12.1885374 -77.0073174
Punto 3 Bus|-12.1836714 -77.0069741
Punto 4 Bus|-12.1713435 -77.0217987
Punto 5 Bus|-12.1490248 -77.0203396
Punto 6 Bus|-12.1339208 -77.0177647
Punto 7 Bus|-12.1314698 -77.022211
Punto 8 Bus|-12.1135005 -77.0254235
Punto 9 Bus|-12.1018354 -77.0270543
Punto 10 Bus|-12.0906336 -77.0227628
Punto 11 Bus|-12.0597171 -77.0354078
Punto 12 Bus|-12.0603046 -77.0414159
Punto 13 Bus|-12.0366048 -77.0437495
Punto 14 Bus|-12.027608 -77.0448469
Punto 15 Bus|-12.0229069 -77.0505117
Punto 16 Bus|-11.9614111 -77.0622622
Punto 17 Bus|-11.9417412 -77.0609319
Punto 18 Bus|-11.8758974 -77.0287818
Punto 19 Bus|-11.9622097 -77.0687422
Punto 20 Bus|-11.9130178 -77.0741643
Punto 21 Bus|-11.9026254 -77.0678165
Punto 22 Bus|-11.870328 -77.0704255
Punto 23 Bus|-11.8364007 -77.1102551
Punto 24 Bus|-11.776078 -77.1641568
Punto 25 Bus|-11.84954 -77.1207491
Punto 26 Bus|-11.8624129 -77.1308986
Punto 27 Bus|-11.9965425 -77.1262207
Punto 28 Bus|-12.0000687 -77.1161785
Punto 29 Bus|-11.9684997 -77.083477
Punto 30 Bus|-11.9352763 -77.0850751
Punto 31 Bus|-11.9304057 -77.0722005
Punto 32 Bus|-12.0442074 -77.1264859
Punto 33 Bus|-12.0062836 -77.0826953
Punto 34 Bus|-12.0215278 -77.1061175
Punto 35 Bus|-12.0222063 -77.0747865
Punto 36 Bus|-12.0349181 -77.0742285
Punto 37 Bus|-12.0292118 -77.0582571
Punto 38 Bus|-12.0498838 -77.0779433
Punto 39 Bus|-12.0782349 -77.0813197
Punto 40 Bus|-12.0534351 -77.0980162
Punto 41 Bus|-12.0591429 -77.1277995
Punto 42 Bus|-12.0633138 -77.1424114
Punto 43 Bus|-12.0465262 -77.0427886
Punto 44 Bus|-12.1138052 -77.0395109
Punto 45 Bus|-12.118169 -77.0435664
Punto 46 Bus|-12.0970329 -77.0719466
Punto 47 Bus|-12.1020683 -77.0574412
Punto 48 Bus|-12.1094248 -76.9773878
Punto 49 Bus|-12.1097243 -76.9725047
Punto 50 Bus|-12.0966324 -76.9699298
Punto 51 Bus|-12.0830347 -76.9696424
Punto 52 Bus|-12.0848982 -76.9809682
Punto 53 Bus|-12.0650976 -76.9709728
Punto 54 Bus|-12.0509962 -76.976466
Punto 55 Bus|-12.031763 -76.9895257
Punto 56 Bus|-12.0262754 -76.9915423
Punto 57 Bus|-12.028741 -76.9974221
Punto 58 Bus|-12.0360818 -77.0123744
Punto 59 Bus|-12.043133 -77.0219874
Punto 60 Bus|-12.0401226 -77.0352613
Punto 61 Bus|-12.0583439 -76.9736201
Punto 62 Bus|-12.0440887 -76.9379709
Punto 63 Bus|-12.0638982 -76.9408033
Punto 64 Bus|-12.0404644 -76.9709801
Punto 65 Bus|-12.0796626 -76.9513249
Punto 66 Bus|-12.0861252 -76.9157051
Punto 67 Bus|-12.0544338 -76.9647949
Punto 68 Bus|-12.0782712 -76.9300335
Punto 69 Bus|-12.0865191 -76.8907271
Punto 70 Bus|-12.0734423 -76.9555322
Punto 71 Bus|-12.0641405 -76.9871358
Punto 72 Bus|-12.1309077 -76.9787611
Punto 73 Bus|-12.1923362 -76.972711
-11.8758974 -77.0287818|-11.9417412 -77.0609319|585.7544
-11.9417412 -77.0609319|-11.8758974 -77.0287818|452.60822
-11.9417412 -77.0609319|-11.9614111 -77.0622622|475.59552
-11.9614111 -77.0622622|-11.9417412 -77.0609319|584.6054
-11.9614111 -77.0622622|-12.0229069 -77.0505117|576.3225
-12.0229069 -77.0505117|-11.9614111 -77.0622622|434.0193
-12.0229069 -77.0505117|-12.027608 -77.0448469|463.9843
-12.027608 -77.0448469|-12.0229069 -77.0505117|459.71982
-12.027608 -77.0448469|-12.0366048 -77.0437495|472.1911
-12.0366048 -77.0437495|-12.027608 -77.0448469|461.206
-12.0366048 -77.0437495|-12.0465262 -77.0427886|476.4073
-12.0465262 -77.0427886|-12.0366048 -77.0437495|464.221
-12.0465262 -77.0427886|-12.0603046 -77.0414159|487.55316
-12.0603046 -77.0414159|-12.0465262 -77.0427886|470.6405
-12.0603046 -77.0414159|-12.0597171 -77.0354078|467.53986
-12.0597171 -77.0354078|-12.0603046 -77.0414159|470.01917
-12.0597171 -77.0354078|-12.0906336 -77.0227628|533.9
-12.0906336 -77.0227628|-12.0597171 -77.0354078|498.72223
-12.0906336 -77.0227628|-12.1018354 -77.0270543|495.9672
-12.1018354 -77.0270543|-12.0906336 -77.0227628|480.64993
-12.1018354 -77.0270543|-12.1135005 -77.0254235|497.32864
-12.1135005 -77.0254235|-12.1018354 -77.0270543|483.14584
-12.1135005 -77.0254235|-12.1314698 -77.022211|514.73
-12.1314698 -77.022211|-12.1135005 -77.0254235|493.08514
-12.1314698 -77.022211|-12.1339208 -77.0177647|487.0084
-12.1339208 -77.0177647|-12.1314698 -77.022211|485.21774
-12.1339208 -77.0177647|-12.1490248 -77.0203396|514.0973
-12.1490248 -77.0203396|-12.1339208 -77.0177647|494.37494
-12.1490248 -77.0203396|-12.1713435 -77.0217987|533.11743
-12.1713435 -77.0217987|-12.1490248 -77.0203396|504.65442
-12.1713435 -77.0217987|-12.1836714 -77.0069741|524.14636
-12.1836714 -77.0069741|-12.1713435 -77.0217987|512.95435
-12.1836714 -77.0069741|-12.1885374 -77.0073174|502.65793
-12.1885374 -77.0073174|-12.1836714 -77.0069741|496.43378
-12.1885374 -77.0073174|-12.2184027 -76.9777916|577.41974
-12.2184027 -76.9777916|-12.1885374 -77.0073174|548.45496
-11.776078 -77.1641568|-11.8364007 -77.1102551|543.0773
-11.8364007 -77.1102551|-11.776078 -77.1641568|562.7162
-11.8364007 -77.1102551|-11.870328 -77.0704255|502.373
-11.870328 -77.0704255|-11.8364007 -77.1102551|560.37134
-11.870328 -77.0704255|-11.9026254 -77.0678165|487.46478
-11.9026254 -77.0678165|-11.870328 -77.0704255|555.5738
-11.9026254 -77.0678165|-11.9130178 -77.0741643|447.6467
-11.9130178 -77.0741643|-11.9026254 -77.0678165|629.23157
-11.9130178 -77.0741643|-11.9304057 -77.0722005|461.82825
-11.9304057 -77.0722005|-11.9130178 -77.0741643|592.9291
-11.9304057 -77.0722005|-11.9622097 -77.0687422|498.9807
-11.9622097 -77.0687422|-11.9304057 -77.0722005|532.6705
-11.9622097 -77.0687422|-11.9614111 -77.0622622|522.70166
-11.9614111 -77.0622622|-11.9622097 -77.0687422|445.25266
-11.9965425 -77.1262207|-12.0000687 -77.1161785|500.54047
-12.0000687 -77.1161785|-11.9965425 -77.1262207|468.98456
-12.0000687 -77.1161785|-11.9684997 -77.083477|513.14575
-11.9684997 -77.083477|-12.0000687 -77.1161785|527.3451
-11.9684997 -77.083477|-11.9352763 -77.0850751|501.2258
-11.9352763 -77.0850751|-11.9684997 -77.083477|500.94824
-11.9352763 -77.0850751|-11.9304057 -77.0722005|621.4721
-11.9304057 -77.0722005|-11.9352763 -77.0850751|451.34796
-11.9622097 -77.0687422|-12.0292118 -77.0582571|587.63525
-12.0292118 -77.0582571|-11.9622097 -77.0687422|397.12704
-12.0292118 -77.0582571|-12.0366048 -77.0437495|479.06647
-12.0366048 -77.0437495|-12.0292118 -77.0582571|473.98257
-12.0633138 -77.1424114|-12.0591429 -77.1277995|521.4216
-12.0591429 -77.1277995|-12.0633138 -77.1424114|471.10602
-12.0591429 -77.1277995|-12.0534351 -77.0980162|511.03625
-12.0534351 -77.0980162|-12.0591429 -77.1277995|500.08365
-12.0534351 -77.0980162|-12.0498838 -77.0779433|475.18634
-12.0498838 -77.0779433|-12.0534351 -77.0980162|485.4654
-12.0498838 -77.0779433|-12.0465262 -77.0427886|499.87683
-12.0465262 -77.0427886|-12.0498838 -77.0779433|514.28314
-12.0062836 -77.0826953|-12.0222063 -77.0747865|479.25235
-12.0222063 -77.0747865|-12.0062836 -77.0826953|495.67145
-12.0222063 -77.0747865|-12.0349181 -77.0742285|474.34363
-12.0349181 -77.0742285|-12.0222063 -77.0747865|503.53687
-12.0349181 -77.0742285|-12.0498838 -77.0779433|483.24384
-12.0498838 -77.0779433|-12.0349181 -77.0742285|520.567
-12.0498838 -77.0779433|-12.0782349 -77.0813197|516.1093
-12.0782349 -77.0813197|-12.0498838 -77.0779433|476.48438
-12.0000687 -77.1161785|-12.0215278 -77.1061175|485.29486
-12.0215278 -77.1061175|-12.0000687 -77.1161785|506.9986
-12.0215278 -77.1061175|-12.0534351 -77.0980162|513.8665
-12.0534351 -77.0980162|-12.0215278 -77.1061175|458.87848
-12.0215278 -77.1061175|-12.0062836 -77.0826953|577.52185
-12.0062836 -77.0826953|-12.0215278 -77.1061175|495.8844
-12.0062836 -77.0826953|-11.9622097 -77.0687422|451.98734
-11.9622097 -77.0687422|-12.0062836 -77.0826953|538.4931
-12.0603046 -77.0414159|-12.0970329 -77.0719466|561.6633
-12.0970329 -77.0719466|-12.0603046 -77.0414159|503.768
-12.0970329 -77.0719466|-12.1020683 -77.0574412|488.0363
-12.1020683 -77.0574412|-12.0970329 -77.0719466|485.91385
-12.1020683 -77.0574412|-12.118169 -77.0435664|509.1422
-12.118169 -77.0435664|-12.1020683 -77.0574412|492.93506
-12.118169 -77.0435664|-12.1138052 -77.0395109|476.89954
-12.1138052 -77.0395109|-12.118169 -77.0435664|483.55725
-12.1138052 -77.0395109|-12.1135005 -77.0254235|491.33545
-12.1135005 -77.0254235|-12.1138052 -77.0395109|495.80096
-12.1135005 -77.0254235|-12.1094248 -76.9773878|540.90894
-12.1094248 -76.9773878|-12.1135005 -77.0254235|559.9504
-12.1094248 -76.9773878|-12.0848982 -76.9809682|501.4603
-12.0848982 -76.9809682|-12.1094248 -76.9773878|531.2368
-12.0848982 -76.9809682|-12.0650976 -76.9709728|494.06677
-12.0650976 -76.9709728|-12.0848982 -76.9809682|521.8401
-12.0650976 -76.9709728|-12.0509962 -76.976466|485.7529
-12.0509962 -76.976466|-12.0650976 -76.9709728|501.8773
-12.0509962 -76.976466|-12.031763 -76.9895257|490.913
-12.031763 -76.9895257|-12.0509962 -76.976466|511.29205
-12.031763 -76.9895257|-12.0262754 -76.9915423|467.11572
-12.0262754 -76.9915423|-12.031763 -76.9895257|473.42566
-12.0262754 -76.9915423|-12.028741 -76.9974221|472.3304
-12.028741 -76.9974221|-12.0262754 -76.9915423|467.5287
-12.028741 -76.9974221|-12.0360818 -77.0123744|491.70703
-12.0360818 -77.0123744|-12.028741 -76.9974221|478.15112
-12.0360818 -77.0123744|-12.043133 -77.0219874|482.99466
-12.043133 -77.0219874|-12.0360818 -77.0123744|471.3499
-12.043133 -77.0219874|-12.0401226 -77.0352613|478.11847
-12.0401226 -77.0352613|-12.043133 -77.0219874|478.05386
-12.0401226 -77.0352613|-12.0366048 -77.0437495|467.81696
-12.0366048 -77.0437495|-12.0401226 -77.0352613|469.77655
-12.1094248 -76.9773878|-12.1097243 -76.9725047|488.0765
-12.1097243 -76.9725047|-12.1094248 -76.9773878|489.11536
-12.1097243 -76.9725047|-12.0966324 -76.9699298|492.5864
-12.0966324 -76.9699298|-12.1097243 -76.9725047|509.78085
-12.0966324 -76.9699298|-12.0830347 -76.9696424|490.40445
-12.0830347 -76.9696424|-12.0966324 -76.9699298|507.57135
-12.0830347 -76.9696424|-12.0848982 -76.9809682|495.89847
-12.0848982 -76.9809682|-12.0830347 -76.9696424|490.2749
-12.0404644 -76.9709801|-12.0544338 -76.9647949|500.63403
-12.0544338 -76.9647949|-12.0404644 -76.9709801|484.87625
-12.0544338 -76.9647949|-12.0734423 -76.9555322|517.30743
-12.0734423 -76.9555322|-12.0544338 -76.9647949|496.1105
-12.0734423 -76.9555322|-12.0796626 -76.9513249|492.68753
-12.0796626 -76.9513249|-12.0734423 -76.9555322|486.0919
-12.0796626 -76.9513249|-12.0782712 -76.9300335|509.03354
-12.0782712 -76.9300335|-12.0796626 -76.9513249|516.952
-12.0782712 -76.9300335|-12.0861252 -76.9157051|512.12787
-12.0861252 -76.9157051|-12.0782712 -76.9300335|506.41275
-12.0861252 -76.9157051|-12.0865191 -76.8907271|523.2009
-12.0865191 -76.8907271|-12.0861252 -76.9157051|529.94495
-12.0583439 -76.9736201|-12.0544338 -76.9647949|481.75488
-12.0544338 -76.9647949|-12.0583439 -76.9736201|489.22507
-12.0544338 -76.9647949|-12.0440887 -76.9379709|505.8172
-12.0440887 -76.9379709|-12.0544338 -76.9647949|526.5881
-12.0597171 -77.0354078|-12.0641405 -76.9871358|534.3142
-12.0641405 -76.9871358|-12.0597171 -77.0354078|542.74646
-12.0641405 -76.9871358|-12.0583439 -76.9736201|486.72894
-12.0583439 -76.9736201|-12.0641405 -76.9871358|497.92844
-12.1094248 -76.9773878|-12.1309077 -76.9787611|530.10144
-12.1309077 -76.9787611|-12.1094248 -76.9773878|502.71326
-12.1309077 -76.9787611|-12.1923362 -76.972711|626.0154
-12.1923362 -76.972711|-12.1309077 -76.9787611|550.5928
-12.1923362 -76.972711|-12.2184027 -76.9777916|560.0774
-12.2184027 -76.9777916|-12.1923362 -76.972711|525.8562
-12.0442074 -77.1264859|-11.9965425 -77.1262207|351.86227
-11.9965425 -77.1262207|-12.0442074 -77.1264859|540.16406
-11.9965425 -77.1262207|-11.8624129 -77.1308986|52.990112
-11.8624129 -77.1308986|-11.9965425 -77.1262207|708.71246
-11.8624129 -77.1308986|-11.84954 -77.1207491|565.1716
-11.84954 -77.1207491|-11.8624129 -77.1308986|449.3117
-11.84954 -77.1207491|-11.8364007 -77.1102551|585.24536
-11.8364007 -77.1102551|-11.84954 -77.1207491|444.73483
