40
Punto 1 Tren|-12.0505766 -77.139554
Punto 2 Tren|-12.0377336 -77.1266794
Punto 3 Tren|-12.0394964 -77.0997286
Punto 4 Tren|-12.0215278 -77.1061175
Punto 5 Tren|-12.0062836 -77.0826953
Punto 6 Tren|-11.9622097 -77.0687422
Punto 7 Tren|-12.0349181 -77.0742285
Punto 8 Tren|-12.036597 -77.0532858
Punto 9 Tren|-12.0401226 -77.0352613
Punto 10 Tren|-12.043133 -77.0219874
Punto 11 Tren|-12.0360818 -77.0123744
Punto 12 Tren|-12.028741 -76.9974221
Punto 13 Tren|-12.031763 -76.9895257
Punto 14 Tren|-12.01964 -76.9471488
Punto 15 Tren|-11.992607 -76.8370746
Punto 16 Tren|-12.0034059 -76.9993299
Punto 17 Tren|-11.9822939 -77.0050451
Punto 18 Tren|-11.9349609 -76.9699092
Punto 19 Tren|-12.075156 -77.1000842
Punto 20 Tren|-12.0776424 -77.0931016
Punto 21 Tren|-12.0782349 -77.0813197
Punto 22 Tren|-12.0863286 -77.0632753
Punto 23 Tren|-12.0944467 -77.0504225
Punto 24 Tren|-12.0848982 -76.9809682
Punto 25 Tren|-12.0830347 -76.9696424
Punto 26 Tren|-12.0638982 -76.9408033
Punto 27 Tren|-12.0565957 -76.9444082
Punto 28 Tren|-12.0440887 -76.9379709
Punto 29 Tren|-12.1094248 -76.9773878
Punto 30 Tren|-12.1309077 -76.9787611
Punto 31 Tren|-12.1616628 -76.9275758
Punto 32 Tren|-12.1930411 -76.9195077
Punto 33 Tren|-12.276488 -76.8058326
Punto 34 Tren|-12.0591429 -77.1277995
Punto 35 Tren|-12.0534351 -77.0980162
Punto 36 Tren|-12.0366048 -77.0437495
Punto 37 Tren|-12.0906336 -77.0227628
Punto 38 Tren|-12.1475722 -76.955292
Punto 39 Tren|-12.0641405 -76.9871358
Punto 40 Tren|-12.2410447 -76.8939302
-12.0505766 -77.139554|-12.0377336 -77.1266794|437.5029
-12.0377336 -77.1266794|-12.0505766 -77.139554|453.50122
-12.0377336 -77.1266794|-12.0394964 -77.0997286|611.17786
-12.0394964 -77.0997286|-12.0377336 -77.1266794|459.85773
-12.0394964 -77.0997286|-12.0349181 -77.0742285|668.36566
-12.0349181 -77.0742285|-12.0394964 -77.0997286|467.01144
-12.0349181 -77.0742285|-12.036597 -77.0532858|566.06384
-12.036597 -77.0532858|-12.0349181 -77.0742285|454.5637
-12.036597 -77.0532858|-12.0366048 -77.0437495|596.6229
-12.0366048 -77.0437495|-12.036597 -77.0532858|501.01437
-12.0366048 -77.0437495|-12.0401226 -77.0352613|520.6977
-12.0401226 -77.0352613|-12.0366048 -77.0437495|550.87476
-12.0401226 -77.0352613|-12.043133 -77.0219874|500.82935
-12.043133 -77.0219874|-12.0401226 -77.0352613|466.23706
-12.043133 -77.0219874|-12.0360818 -77.0123744|635.6037
-12.0360818 -77.0123744|-12.043133 -77.0219874|452.35205
-12.0360818 -77.0123744|-12.028741 -76.9974221|644.0895
-12.028741 -76.9974221|-12.0360818 -77.0123744|461.959
-12.028741 -76.9974221|-12.031763 -76.9895257|486.81152
-12.031763 -76.9895257|-12.028741 -76.9974221|506.6583
-12.031763 -76.9895257|-12.01964 -76.9471488|629.5521
-12.01964 -76.9471488|-12.031763 -76.9895257|525.6347
-12.01964 -76.9471488|-11.992607 -76.8370746|657.1616
-11.992607 -76.8370746|-12.01964 -76.9471488|685.66187
-12.0505766 -77.139554|-12.0591429 -77.1277995|506.22076
-12.0591429 -77.1277995|-12.0505766 -77.139554|491.84793
-12.0591429 -77.1277995|-12.075156 -77.1000842|487.3996
-12.075156 -77.1000842|-12.0591429 -77.1277995|535.7745
-12.075156 -77.1000842|-12.0776424 -77.0931016|542.5571
